strategy,slots_per_layer,rounds,mean_tpot_ms,tpot_slowdown,misses_per_text_event
no-pin,320,3,386.14813168533146,1.867381700154248,66.0111111111111
no-pin,352,3,318.9123730943908,1.542234910913727,72.64444444444445
no-pin,368,3,234.22581190243363,1.1326974260924298,47.544444444444444
no-pin,384,3,206.78586046625344,1.0,39.61290322580645
pin-8,376,3,228.8383822112034,1.1284220989467884,40.37777777777778
pin-8,380,3,216.63503249042802,1.06824631299236,39.32222222222222
pin-8,382,3,212.54712588981621,1.048088487622386,37.977777777777774
pin-8,383,3,209.7223231214143,1.0341591378418546,37.62222222222222
pin-8,384,3,202.79502007696362,1.0,36.16129032258065
pin-32,380,3,223.9786594152628,1.0359491830895209,37.68888888888889
pin-32,382,3,228.1755623851149,1.0553607565602923,38.4
pin-32,383,3,222.40904468067345,1.0286893793818452,37.78888888888889
pin-32,384,3,216.20622234315508,1.0,36.68817204301075
