policy,slots_per_layer,samples,byte_hit_rate,misses_per_token,estimated_miss_ms_per_token,estimated_slowdown_ratio,projected_reclaim_gib,resident_weight_gib,miss_gib
lru,384,60,0.9222916483323066,68.38334946757018,512.8751210067763,6.1287512100677635,14.766,60.017,203.72053503990173
lru,416,60,0.943064111590249,50.103581800580834,375.77686350435624,4.757768635043562,11.074,63.708,149.26335974037647
lru,448,60,0.9624724984599138,33.02420135527589,247.6815101645692,3.4768151016456925,7.383,67.4,98.38225272297859
lru,464,60,0.9719132271407199,24.716360116166506,185.37270087124878,2.853727008712488,5.537,69.246,73.63239949941635
lru,480,60,0.9812010472586464,16.543078412391093,124.0730880929332,2.2407308809293323,3.691,71.091,49.283411994576454
lru,496,60,0.9905218692246766,8.340755082284607,62.55566311713456,1.6255566311713456,1.846,72.937,24.847906708717346
lru,504,60,0.9952587344891314,4.172313649564376,31.292352371732818,1.3129235237173282,0.923,73.86,12.42972120642662
lru,512,60,1.0,0.0,0.0,1.0,0.0,74.783,0.0
window_lfu,384,60,0.928705007480419,62.73959341723136,470.54695062923525,5.705469506292352,14.766,60.017,186.9072462618351
window_lfu,416,60,0.9496248789932237,44.33010648596321,332.4757986447241,4.324757986447241,11.074,63.708,132.06362487375736
window_lfu,448,60,0.9682610226172665,27.93030009680542,209.47725072604067,3.094772507260407,7.383,67.4,83.20703393220901
window_lfu,464,60,0.9767083956701575,20.496611810261374,153.72458857696031,2.537245885769603,5.537,69.246,61.06136591732502
window_lfu,480,60,0.9848037490099446,13.37270087124879,100.29525653436592,2.0029525653436595,3.691,71.091,39.83855423331261
window_lfu,496,60,0.9925195810965414,6.582768635043562,49.37076476282672,1.4937076476282671,1.846,72.937,19.610697031021118
window_lfu,504,60,0.9963114934436328,3.2458857696030976,24.344143272023235,1.2434414327202323,0.923,73.86,9.669803991913795
window_lfu,512,60,1.0,0.0,0.0,1.0,0.0,74.783,0.0
